created_time,reactions,comments,shares,permalink,message
2026-07-24T13:54:00+0000,0,0,0,https://www.facebook.com/1660349159424301/posts/1660260902766460,"Here's a story worth knowing.  Back in the '90s, Elton John and George Michael started recording a song together called 'This Kind Of Love.' It never got finished. Now, George Michael's manager is exploring whether he can finally get it released—more than 30 years after they first started it.  There's something beautiful about music that refuses to stay buried.  It's also a reminder of just how deep Elton John's catalog runs—collaborations, classics, and moments that keep resurfacing because the music means that much to people.  The Rocket Man Show celebrates all of it. If this story gave you that familiar feeling, you already know what a night with this show is like.  Read more: https://www.nme.com/news/music/new-duet-from-george-michael-and-elton-john-could-be-on-the-way-3958509  Which Elton John and George Michael song means the most to you? Drop it in the comments."
2026-07-23T13:27:41+0000,0,0,0,https://www.facebook.com/1660349159424301/posts/1659213149537902,"Not every tribute act makes you laugh out loud while you're singing along—but The Wankers do.  David Fagin sat down for a great interview, breaking down the philosophy behind the act: a Brit-pop and New Wave tribute experience that's equal parts concert and comedy show. It's a genuinely rare combination, and he talks about how they built it into something that keeps crowds locked in from start to finish.  If you've seen them live, you know exactly what we're talking about. If you haven't—this interview will make you want to.  Full story here: https://www.warwickadvertiser.com/entertainment/interview-the-wankers-david-fagin-IG5796309  Were you at a Wankers show? Tell us your favorite moment in the comments."
2026-07-22T17:35:13+0000,0,0,0,https://www.facebook.com/1660349159424301/posts/1658454876280396,"Tonight! The Dolly Show is coming to the Blue Gate Performing Arts Center!  If you've been looking for a reason to make a night of it this summer, this is it. The Dolly Show brings everything you love about Dolly Parton's music to life on stage—the warmth, the humor, the hits. Every single one of them.  Bring the family, bring your friends, and come ready to sing along. Shows like this are what summer memories are made of.  Were you at a previous Dolly Show performance? Tell us your favorite song from the set—we'd love to hear from you!"
2026-07-21T13:29:01+0000,0,0,0,https://www.facebook.com/1660349159424301/posts/1657341756391708,"Did you hear? The Monkees are celebrating 60 years—and there's a full convention happening in their honor.  The M60 Monkees Convention is set for September 4, 5, and 6, 2026 at the Clarion Inn Hotel in North Haven, Connecticut. Live music, bands, guests, vendors—a whole weekend for the fans who never stopped loving this music. Full details here: https://www.monkees.net/m60-monkees-convention-september-4-5-6-2026/  Six decades in and the Monkees fanbase is still going strong. That's not an accident. This music connects—and it always has.  If you're a fan, you already know. And if you haven't seen Monkee Men live yet, this is your sign.  Were you a Monkees fan growing up? Drop your favorite song in the comments—we'd love to know! 🎵"
2026-07-20T14:53:04+0000,0,0,0,https://www.facebook.com/1660349159424301/posts/1656490496476834,"Mark your calendars—The Rocket Man Show is coming to Garden Theatre in Winter Garden, Florida on August 1st.  Rus Anderson performs Elton John's greatest hits wearing costumes that Elton personally owned from the 1970s. Not replicas. Not reproductions. The real thing. It adds a layer to this show that you genuinely have to see to believe.  DNA Productions and the City of Winter Garden are presenting this one, and it's shaping up to be a night the Garden Theatre crowd will be talking about for a while.  Full story here: https://www.cwgdn.com/CivicAlerts.aspx?AID=780  Have you ever seen The Rocket Man Show live? Tell us your favorite Elton John song in the comments—we'd love to know what you're hoping to hear."
2026-07-19T15:47:02+0000,1,0,0,https://www.facebook.com/1660349159424301/posts/1655598506566033,"Philadelphia is honoring a legend—and Love TKO is there for every moment of it.  On July 26th, the city will unveil Teddy Pendergrass Way on the 400 block of South Broad Street at noon. Then, at 3:00pm, Love TKO: The Official Teddy Pendergrass Tribute takes the stage at City Winery Philadelphia with doors opening at 1pm.  A street named in his honor. A full show celebrating his music. If Teddy Pendergrass was ever a part of your life—and for a lot of us, he was—this is the afternoon to be there.  Full details here: https://teddypendergrassofficial.com/366-2/  Were you a Teddy Pendergrass fan growing up? Drop your favorite song in the comments—we'd love to know what the crowd will be singing along to."
2026-07-18T15:38:00+0000,0,0,0,https://www.facebook.com/1660349159424301/posts/1654767513315799,"Here's a Jimi Hendrix fact that stopped us cold.  In July 1967—right in the middle of his rise to global fame—Hendrix quietly walked into a studio to record with his old friend Curtis Knight. Not for a record deal. Not for money. He picked up a guitar and a Hagstrom 8-string bass (an instrument he'd barely touched before) just to honor their friendship and help settle an old contract dispute.  No one made him do it. He just showed up.  That loyalty, that generosity—it's part of what made Hendrix one of a kind. And it's part of what Kiss The Sky: RE-Experience Hendrix Tribute honors every single night they take the stage.  Full story here: https://www.jimihendrix.com/editorial/hornets-nest-inside-the-nearly-50-year-battle-over-jimi-hendrixs-pre-experience-recordings/  What's your favorite Hendrix moment—on record or on stage? Tell us below. 👇"
2026-07-17T13:54:02+0000,1,0,0,https://www.facebook.com/1660349159424301/posts/1653812890077928,"New music from The Platters—and it's a beautiful one.  ""Can't Help Falling in Love"" was released on July 10th as part of their upcoming album 'With Love, The Platters.' It follows their first single 'The Prayer,' which dropped in May. The group is clearly in a creative moment, and it's wonderful to see.  There's something special about an act with this kind of legacy still putting new music into the world. The Platters helped define what love songs sound like—and they're not finished yet.  Full story here: https://theplatters.com/  Who grew up listening to The Platters? Drop your favorite song in the comments—we'd love to know. 🎵"
2026-07-16T14:45:42+0000,0,0,0,https://www.facebook.com/1660349159424301/posts/1652899863502564,"The Tom Petty Estate just did something special.  To mark the 50th anniversary of Tom Petty & The Heartbreakers, they've released newly mixed and extended versions of 'American Girl' and 'Breakdown'—remixed from the original multi-track tapes in Hi-Res and Dolby Atmos. These aren't repackaged greatest hits. These are the songs rebuilt from the ground up, sounding better than they ever have.  Full story here: https://wror.com/2026/06/30/tom-petty-estate-releases-extended-versions-of-american-girl-and-breakdown-for-50th-anniversary/  If this news hit you right in the chest, you're not alone. And if it's making you want to hear that music live—Free Fallin: The Tom Petty Concert Experience exists for exactly that reason.  What's your favorite Tom Petty song? Drop it in the comments—we want to see how deep this goes."
2026-07-15T17:11:25+0000,0,0,0,https://www.facebook.com/1660349159424301/posts/1652068633585687,"Rhino Records just announced something that's going to excite a lot of you—'Made for TV: Official Soundtrack to Season 1 of The Monkees,' featuring 14 rare broadcast-exclusive TV mixes and over two dozen songs from the show's first season.  This music shaped a generation. And The Monkee Men have been keeping it alive on stages across the country.   Full story here: https://filmmusicreporter.com/2026/06/22/new-soundtrack-album-for-nbcs-the-monkees-season-1-announced/  If you're interested in learning more about The Monkee Men, or would like to book them for a show, please visit their page on our website: https://www.loveproductions.com/title-item/the-monkee-men/  Which Monkees song from Season 1 would you most want to hear live? Drop it in the comments—we're curious."
